"","gene_id","gene_name","seq_name","gene_biotype","description"
"11876","ENSMUSG00000103168","Gm30948","12","lncRNA","predicted gene, 30948 [Source:MGI Symbol;Acc:MGI:5590107]"
"11877","ENSMUSG00000102295","Ighv1-57","12","IG_V_pseudogene","immunoglobulin heavy variable V1-57 [Source:MGI Symbol;Acc:MGI:5009919]"
"11878","ENSMUSG00000104452","Ighv8-8","12","IG_V_gene","immunoglobulin heavy variable 8-8 [Source:MGI Symbol;Acc:MGI:3815333]"
"11879","ENSMUSG00000095889","Ighv1-58","12","IG_V_gene","immunoglobulin heavy variable 1-58 [Source:MGI Symbol;Acc:MGI:4439557]"
"11880","ENSMUSG00000095197","Ighv1-59","12","IG_V_gene","immunoglobulin heavy variable V1-59 [Source:MGI Symbol;Acc:MGI:3644474]"
"11881","ENSMUSG00000104320","Ighv1-60","12","IG_V_pseudogene","immunoglobulin heavy variable V1-60 [Source:MGI Symbol;Acc:MGI:5009920]"
"11882","ENSMUSG00000094087","Ighv1-61","12","IG_V_gene","immunoglobulin heavy variable 1-61 [Source:MGI Symbol;Acc:MGI:4439824]"
"11883","ENSMUSG00000102765","Ighv1-62","12","IG_V_pseudogene","immunoglobulin heavy variable V1-62 [Source:MGI Symbol;Acc:MGI:5009844]"
"11884","ENSMUSG00000102313","Ighv1-62-1","12","IG_V_gene","immunoglobulin heavy variable 1-62-1 [Source:MGI Symbol;Acc:MGI:3704125]"
"11885","ENSMUSG00000102332","Gm19331","12","lncRNA","predicted gene, 19331 [Source:MGI Symbol;Acc:MGI:5011516]"
"11886","ENSMUSG00000104373","Gm37511","12","IG_V_pseudogene","predicted gene, 37511 [Source:MGI Symbol;Acc:MGI:5610739]"
"11887","ENSMUSG00000103470","Gm38184","12","IG_V_pseudogene","predicted gene, 38184 [Source:MGI Symbol;Acc:MGI:5611412]"
"11888","ENSMUSG00000096078","Ighv1-62-2","12","IG_V_gene","immunoglobulin heavy variable 1-62-2 [Source:MGI Symbol;Acc:MGI:3644968]"
"11889","ENSMUSG00000096767","Ighv1-62-3","12","IG_V_gene","immunoglobulin heavy variable 1-62-3 [Source:MGI Symbol;Acc:MGI:3648544]"
"11890","ENSMUSG00000095117","Ighv8-9","12","IG_V_gene","immunoglobulin heavy variable V8-9 [Source:MGI Symbol;Acc:MGI:3644475]"
"11891","ENSMUSG00000105242","Gm9236","12","processed_pseudogene","predicted gene 9236 [Source:MGI Symbol;Acc:MGI:3645301]"
"11892","ENSMUSG00000096672","Ighv1-63","12","IG_V_gene","immunoglobulin heavy variable V1-63 [Source:MGI Symbol;Acc:MGI:3642755]"
"11893","ENSMUSG00002075484","Gm54657","12","miRNA","predicted gene, 54657 [Source:MGI Symbol;Acc:MGI:6845792]"
"11894","ENSMUSG00000094088","Ighv1-64","12","IG_V_gene","immunoglobulin heavy variable 1-64 [Source:MGI Symbol;Acc:MGI:4439789]"
"11895","ENSMUSG00000106325","Ighv8-10","12","IG_V_pseudogene","immunoglobulin heavy variable V8-10 [Source:MGI Symbol;Acc:MGI:5009921]"
"11896","ENSMUSG00000105680","Gm18340","12","processed_pseudogene","predicted gene, 18340 [Source:MGI Symbol;Acc:MGI:5010525]"
"11897","ENSMUSG00000104593","Ighv1-65","12","IG_V_pseudogene","immunoglobulin heavy variable V1-65 [Source:MGI Symbol;Acc:MGI:5009922]"
"11898","ENSMUSG00000105599","Gm9238","12","processed_pseudogene","predicted gene 9238 [Source:MGI Symbol;Acc:MGI:3645306]"
"11899","ENSMUSG00000095170","Ighv8-11","12","IG_V_gene","immunoglobulin heavy variable V8-11 [Source:MGI Symbol;Acc:MGI:3644925]"
"11900","ENSMUSG00000106283","Rpl7a-ps2","12","processed_pseudogene","ribosomal protein L7A, pseudogene 2 [Source:MGI Symbol;Acc:MGI:3647594]"
"11901","ENSMUSG00000095519","Ighv1-66","12","IG_V_gene","immunoglobulin heavy variable 1-66 [Source:MGI Symbol;Acc:MGI:4439825]"
"11902","ENSMUSG00000095863","Ighv1-67","12","IG_V_gene","immunoglobulin heavy variable V1-67 [Source:MGI Symbol;Acc:MGI:3645228]"
"11903","ENSMUSG00000105582","Ighv1-68","12","IG_V_pseudogene","immunoglobulin heavy variable V1-68 [Source:MGI Symbol;Acc:MGI:5009923]"
"11904","ENSMUSG00000106077","Gm5660","12","processed_pseudogene","predicted gene 5660 [Source:MGI Symbol;Acc:MGI:3644129]"
"11905","ENSMUSG00000106420","Gm9245","12","processed_pseudogene","predicted gene 9245 [Source:MGI Symbol;Acc:MGI:3648326]"
"11906","ENSMUSG00000094502","Ighv1-69","12","IG_V_gene","immunoglobulin heavy variable 1-69 [Source:MGI Symbol;Acc:MGI:4439632]"
"11907","ENSMUSG00000076731","Ighv8-12","12","IG_V_gene","immunoglobulin heavy variable V8-12 [Source:MGI Symbol;Acc:MGI:3642873]"
"11908","ENSMUSG00000105737","Gm6105","12","processed_pseudogene","predicted gene 6105 [Source:MGI Symbol;Acc:MGI:3649051]"
"11909","ENSMUSG00000108559","Gm44782","12","unprocessed_pseudogene","predicted gene 44782 [Source:MGI Symbol;Acc:MGI:5753358]"
"11910","ENSMUSG00000106601","Ighv1-70","12","IG_V_pseudogene","immunoglobulin heavy variable 1-70 [Source:MGI Symbol;Acc:MGI:3644620]"
"11911","ENSMUSG00000098336","Mir6388","12","miRNA","microRNA 6388 [Source:MGI Symbol;Acc:MGI:5531307]"
"11912","ENSMUSG00000096577","Ighv1-71","12","IG_V_gene","immunoglobulin heavy variable 1-71 [Source:MGI Symbol;Acc:MGI:3643033]"
"11913","ENSMUSG00000096074","Ighv1-72","12","IG_V_gene","immunoglobulin heavy variable 1-72 [Source:MGI Symbol;Acc:MGI:4439633]"
"11914","ENSMUSG00000076733","Ighv8-13","12","IG_V_gene","immunoglobulin heavy variable 8-13 [Source:MGI Symbol;Acc:MGI:4439734]"
"11915","ENSMUSG00000105749","Gm9251","12","processed_pseudogene","predicted gene 9251 [Source:MGI Symbol;Acc:MGI:3645129]"
"11916","ENSMUSG00000106599","Ighv1-73","12","IG_V_pseudogene","immunoglobulin heavy variable 1-73 [Source:MGI Symbol;Acc:MGI:3645131]"
"11917","ENSMUSG00000094124","Ighv1-74","12","IG_V_gene","immunoglobulin heavy variable V1-74 [Source:MGI Symbol;Acc:MGI:4439634]"
"11918","ENSMUSG00000091087","Ighv8-14","12","IG_V_pseudogene","immunoglobulin heavy variable 8-14 [Source:MGI Symbol;Acc:MGI:3648977]"
"11919","ENSMUSG00000105669","Gm18341","12","processed_pseudogene","predicted gene, 18341 [Source:MGI Symbol;Acc:MGI:5010526]"
"11920","ENSMUSG00000104780","Gm19843","12","processed_pseudogene","predicted gene, 19843 [Source:MGI Symbol;Acc:MGI:5012028]"
"11921","ENSMUSG00000096020","Ighv1-75","12","IG_V_gene","immunoglobulin heavy variable 1-75 [Source:MGI Symbol;Acc:MGI:4439735]"
"11922","ENSMUSG00000104542","Ighv8-15","12","IG_V_pseudogene","immunoglobulin heavy variable V8-15 [Source:MGI Symbol;Acc:MGI:5434408]"
"11923","ENSMUSG00000093896","Ighv1-76","12","IG_V_gene","immunoglobulin heavy variable 1-76 [Source:MGI Symbol;Acc:MGI:4439737]"
"11924","ENSMUSG00000106482","Ighv8-16","12","IG_V_pseudogene","immunoglobulin heavy variable V8-16 [Source:MGI Symbol;Acc:MGI:5434409]"
"11925","ENSMUSG00000096452","Ighv1-77","12","IG_V_gene","immunoglobulin heavy variable 1-77 [Source:MGI Symbol;Acc:MGI:4439670]"
"11926","ENSMUSG00000096326","Ighv1-78","12","IG_V_gene","immunoglobulin heavy variable 1-78 [Source:MGI Symbol;Acc:MGI:4439736]"
"11927","ENSMUSG00000106645","Gm42643","12","IG_V_pseudogene","predicted gene 42643 [Source:MGI Symbol;Acc:MGI:5662780]"
"11928","ENSMUSG00000104590","Gm5034","12","unprocessed_pseudogene","predicted gene 5034 [Source:MGI Symbol;Acc:MGI:3648000]"
"11929","ENSMUSG00000105123","Ighv1-79","12","IG_V_pseudogene","immunoglobulin heavy variable 1-79 [Source:MGI Symbol;Acc:MGI:3648258]"
"11930","ENSMUSG00000105928","Gm9256","12","processed_pseudogene","predicted gene 9256 [Source:MGI Symbol;Acc:MGI:3648981]"
"11931","ENSMUSG00000094075","Ighv1-80","12","IG_V_gene","immunoglobulin heavy variable 1-80 [Source:MGI Symbol;Acc:MGI:4439738]"
"11932","ENSMUSG00000094689","Ighv1-81","12","IG_V_gene","immunoglobulin heavy variable 1-81 [Source:MGI Symbol;Acc:MGI:4439635]"
"11933","ENSMUSG00000106434","Gm42990","12","IG_V_pseudogene","predicted gene 42990 [Source:MGI Symbol;Acc:MGI:5663127]"
"11934","ENSMUSG00000106041","Or5t19-ps1","12","unprocessed_pseudogene","olfactory receptor family 5 subfamily T member 19, pseudogene 1 [Source:MGI Symbol;Acc:MGI:3030075]"
"11935","ENSMUSG00000095127","Ighv1-82","12","IG_V_gene","immunoglobulin heavy variable 1-82 [Source:MGI Symbol;Acc:MGI:4439671]"
"11936","ENSMUSG00000105757","Ighv1-83","12","IG_V_pseudogene","immunoglobulin heavy variable 1-83 [Source:MGI Symbol;Acc:MGI:3648939]"
"11937","ENSMUSG00000094940","Ighv1-84","12","IG_V_gene","immunoglobulin heavy variable 1-84 [Source:MGI Symbol;Acc:MGI:3644235]"
"11938","ENSMUSG00000106239","Gm9260","12","processed_pseudogene","predicted gene 9260 [Source:MGI Symbol;Acc:MGI:3645725]"
"11939","ENSMUSG00000096150","Ighv1-85","12","IG_V_gene","immunoglobulin heavy variable 1-85 [Source:MGI Symbol;Acc:MGI:3645723]"
"11940","ENSMUSG00000105605","Ighv1-86","12","IG_V_pseudogene","immunoglobulin heavy variable 1-86 [Source:MGI Symbol;Acc:MGI:3645729]"
"11941","ENSMUSG00000042063","Zfp386","12","protein_coding","zinc finger protein 386 (Kruppel-like) [Source:MGI Symbol;Acc:MGI:1930708]"
"11942","ENSMUSG00000011171","Vipr2","12","protein_coding","vasoactive intestinal peptide receptor 2 [Source:MGI Symbol;Acc:MGI:107166]"
"11943","ENSMUSG00000093765","Gm20658","12","lncRNA","predicted gene 20658 [Source:MGI Symbol;Acc:MGI:5313105]"
"11944","ENSMUSG00000113304","Gm48618","12","unprocessed_pseudogene","predicted gene, 48618 [Source:MGI Symbol;Acc:MGI:6098212]"
"11945","ENSMUSG00002076861","Gm54675","12","miRNA","predicted gene, 54675 [Source:MGI Symbol;Acc:MGI:6845828]"
"11946","ENSMUSG00000113002","Gm48620","12","unprocessed_pseudogene","predicted gene, 48620 [Source:MGI Symbol;Acc:MGI:6098215]"
"11947","ENSMUSG00000118807","Gm23732","12","snRNA","predicted gene, 23732 [Source:MGI Symbol;Acc:MGI:5453509]"
"11948","ENSMUSG00000042050","Dync2i1","12","protein_coding","dynein 2 intermediate chain 1 [Source:MGI Symbol;Acc:MGI:2445085]"
"11949","ENSMUSG00002075267","Gm54678","12","miRNA","predicted gene, 54678 [Source:MGI Symbol;Acc:MGI:6845834]"
"11950","ENSMUSG00000121588","","12","processed_pseudogene","ribosomal protein L31 (Rpl31) pseudogene"
"11951","ENSMUSG00000113527","Gm48079","12","lncRNA","predicted gene, 48079 [Source:MGI Symbol;Acc:MGI:6097416]"
"11952","ENSMUSG00000021171","Esyt2","12","protein_coding","extended synaptotagmin-like protein 2 [Source:MGI Symbol;Acc:MGI:1261845]"
"11953","ENSMUSG00000112980","D430020J02Rik","12","lncRNA","RIKEN cDNA D430020J02 gene [Source:MGI Symbol;Acc:MGI:2442237]"
"11954","ENSMUSG00000042029","Ncapg2","12","protein_coding","non-SMC condensin II complex, subunit G2 [Source:MGI Symbol;Acc:MGI:1923294]"
"11955","ENSMUSG00000084629","Gm25112","12","snRNA","predicted gene, 25112 [Source:MGI Symbol;Acc:MGI:5454889]"
"11956","ENSMUSG00000089468","Rnu7-ps1","12","snRNA","U7 small nuclear RNA, pseudogene 1 [Source:MGI Symbol;Acc:MGI:97993]"
"11957","ENSMUSG00000056553","Ptprn2","12","protein_coding","protein tyrosine phosphatase receptor type N polypeptide 2 [Source:MGI Symbol;Acc:MGI:107418]"
"11958","ENSMUSG00000101236","Gm6750","12","processed_pseudogene","predicted gene 6750 [Source:MGI Symbol;Acc:MGI:3779628]"
"11959","ENSMUSG00000101814","Gm17807","12","processed_pseudogene","predicted gene, 17807 [Source:MGI Symbol;Acc:MGI:5009993]"
"11960","ENSMUSG00000113795","Gm48119","12","processed_pseudogene","predicted gene, 48119 [Source:MGI Symbol;Acc:MGI:6097475]"
"11961","ENSMUSG00000099907","Gm10421","12","lncRNA","predicted gene 10421 [Source:MGI Symbol;Acc:MGI:3642601]"
"11962","ENSMUSG00000101930","Gm5441","12","lncRNA","predicted gene 5441 [Source:MGI Symbol;Acc:MGI:3779489]"
"11963","ENSMUSG00000065538","Mir153","12","miRNA","microRNA 153 [Source:MGI Symbol;Acc:MGI:2676838]"
"11964","ENSMUSG00000041992","Rapgef5","12","protein_coding","Rap guanine nucleotide exchange factor (GEF) 5 [Source:MGI Symbol;Acc:MGI:2444365]"
"11965","ENSMUSG00002074980","Gm54711","12","rRNA","predicted gene, 54711 [Source:MGI Symbol;Acc:MGI:6845900]"
"11966","ENSMUSG00000113575","A930023M06Rik","12","lncRNA","RIKEN cDNA A930023M06 gene [Source:MGI Symbol;Acc:MGI:1925208]"
"11967","ENSMUSG00000113840","Gm18955","12","processed_pseudogene","predicted gene, 18955 [Source:MGI Symbol;Acc:MGI:5011140]"
"11968","ENSMUSG00000021175","Cdca7l","12","protein_coding","cell division cycle associated 7 like [Source:MGI Symbol;Acc:MGI:2384982]"
"11969","ENSMUSG00000093544","Gm20613","12","processed_pseudogene","predicted gene 20613 [Source:MGI Symbol;Acc:MGI:5313060]"
"11970","ENSMUSG00000018581","Dnah11","12","protein_coding","dynein, axonemal, heavy chain 11 [Source:MGI Symbol;Acc:MGI:1100864]"
"11971","ENSMUSG00000113831","Gm49602","12","lncRNA","predicted gene, 49602 [Source:MGI Symbol;Acc:MGI:6215013]"
"11972","ENSMUSG00000025323","Sp4","12","protein_coding","trans-acting transcription factor 4 [Source:MGI Symbol;Acc:MGI:107595]"
"11973","ENSMUSG00000120574","Gm56549","12","lncRNA","predicted gene, 56549 [Source:MGI Symbol;Acc:MGI:7337012]"
"11974","ENSMUSG00000119869","Gm25577","12","snRNA","predicted gene, 25577 [Source:MGI Symbol;Acc:MGI:5455354]"
"11975","ENSMUSG00000113875","D230030E09Rik","12","lncRNA","Riken cDNA D230030E09 gene [Source:MGI Symbol;Acc:MGI:4438394]"
"11976","ENSMUSG00000114034","Gm9267","12","processed_pseudogene","predicted gene 9267 [Source:MGI Symbol;Acc:MGI:3646453]"
"11977","ENSMUSG00000113546","Gm18441","12","processed_pseudogene","predicted gene, 18441 [Source:MGI Symbol;Acc:MGI:5010626]"
"11978","ENSMUSG00002076723","Gm54737","12","misc_RNA","predicted gene, 54737 [Source:MGI Symbol;Acc:MGI:6845951]"
"11979","ENSMUSG00000113633","Gm29689","12","processed_pseudogene","predicted gene, 29689 [Source:MGI Symbol;Acc:MGI:5588848]"
"11980","ENSMUSG00000113169","Gm6171","12","processed_pseudogene","predicted gene 6171 [Source:MGI Symbol;Acc:MGI:3646093]"
"11981","ENSMUSG00000048562","Sp8","12","protein_coding","trans-acting transcription factor 8 [Source:MGI Symbol;Acc:MGI:2443471]"
"11982","ENSMUSG00000072791","Abcb5","12","protein_coding","ATP-binding cassette, sub-family B (MDR/TAP), member 5 [Source:MGI Symbol;Acc:MGI:1924956]"
"11983","ENSMUSG00000114030","Gm18921","12","processed_pseudogene","predicted gene, 18921 [Source:MGI Symbol;Acc:MGI:5011106]"
"11984","ENSMUSG00000025321","Itgb8","12","protein_coding","integrin beta 8 [Source:MGI Symbol;Acc:MGI:1338035]"
"11985","ENSMUSG00000021908","Ncoa4-ps","12","processed_pseudogene","nuclear receptor coactivator 4, pseudogene [Source:MGI Symbol;Acc:MGI:3648259]"
"11986","ENSMUSG00000041886","Macc1","12","protein_coding","metastasis associated in colon cancer 1 [Source:MGI Symbol;Acc:MGI:2685113]"
"11987","ENSMUSG00000113192","Gm18032","12","processed_pseudogene","predicted gene, 18032 [Source:MGI Symbol;Acc:MGI:5010217]"
"11988","ENSMUSG00000114186","Gm48681","12","lncRNA","predicted gene, 48681 [Source:MGI Symbol;Acc:MGI:6098304]"
"11989","ENSMUSG00000113091","Gm9279","12","processed_pseudogene","predicted gene 9279 [Source:MGI Symbol;Acc:MGI:3646237]"
"11990","ENSMUSG00000114137","Gm48685","12","unprocessed_pseudogene","predicted gene, 48685 [Source:MGI Symbol;Acc:MGI:6098312]"
"11991","ENSMUSG00000112946","Gm9280","12","unprocessed_pseudogene","predicted gene 9280 [Source:MGI Symbol;Acc:MGI:3646236]"
"11992","ENSMUSG00000113460","Gm48686","12","TEC","predicted gene, 48686 [Source:MGI Symbol;Acc:MGI:6098313]"
"11993","ENSMUSG00002075469","Gm54747","12","rRNA","predicted gene, 54747 [Source:MGI Symbol;Acc:MGI:6845971]"
"11994","ENSMUSG00000048004","Tmem196","12","protein_coding","transmembrane protein 196 [Source:MGI Symbol;Acc:MGI:2685374]"
"11995","ENSMUSG00000098707","Gm27236","12","processed_pseudogene","predicted gene 27236 [Source:MGI Symbol;Acc:MGI:5521079]"
"11996","ENSMUSG00000113740","Gm8598","13","processed_pseudogene","predicted gene 8598 [Source:MGI Symbol;Acc:MGI:3646558]"
"11997","ENSMUSG00000113763","Gm49287","13","transcribed_unprocessed_pseudogene","predicted gene, 49287 [Source:MGI Symbol;Acc:MGI:6118776]"
"11998","ENSMUSG00000121348","","13","lncRNA","novel transcript"
"11999","ENSMUSG00000113784","Gm46400","13","lncRNA","predicted gene, 46400 [Source:MGI Symbol;Acc:MGI:5826037]"
"12000","ENSMUSG00000091834","Gm17177","13","transcribed_unprocessed_pseudogene","predicted gene 17177 [Source:MGI Symbol;Acc:MGI:4938004]"
"12001","ENSMUSG00000113920","Gm18783","13","processed_pseudogene","predicted gene, 18783 [Source:MGI Symbol;Acc:MGI:5010968]"
"12002","ENSMUSG00000113560","Gm48519","13","processed_pseudogene","predicted gene, 48519 [Source:MGI Symbol;Acc:MGI:6098055]"
"12003","ENSMUSG00000113651","Gm4900","13","processed_pseudogene","predicted gene 4900 [Source:MGI Symbol;Acc:MGI:3646967]"
"12004","ENSMUSG00000112973","Gm48520","13","processed_pseudogene","predicted gene, 48520 [Source:MGI Symbol;Acc:MGI:6098056]"
"12005","ENSMUSG00000121349","Speer6-ps1","13","lncRNA","spermatogenesis associated glutamate (E)-rich protein 6, pseudogene 1 [Source:NCBI gene (formerly Entrezgene);Acc:73266]"
"12006","ENSMUSG00000091304","Speer6-ps1","13","transcribed_unprocessed_pseudogene","spermatogenesis associated glutamate (E)-rich protein 6, pseudogene 1 [Source:MGI Symbol;Acc:MGI:1920516]"
"12007","ENSMUSG00000113271","Gm40653","13","lncRNA","predicted gene, 40653 [Source:MGI Symbol;Acc:MGI:5623538]"
"12008","ENSMUSG00000114003","Gm9616","13","processed_pseudogene","predicted gene 9616 [Source:MGI Symbol;Acc:MGI:3780024]"
"12009","ENSMUSG00000112968","Gm48530","13","lncRNA","predicted gene, 48530 [Source:MGI Symbol;Acc:MGI:6098070]"
"12010","ENSMUSG00000113636","Gm8616","13","processed_pseudogene","predicted gene 8616 [Source:MGI Symbol;Acc:MGI:3647863]"
"12011","ENSMUSG00000121350","","13","lncRNA","novel transcript"
"12012","ENSMUSG00000096107","Gm16505","13","transcribed_unprocessed_pseudogene","predicted gene 16505 [Source:MGI Symbol;Acc:MGI:3642261]"
"12013","ENSMUSG00000113534","Gm19163","13","processed_pseudogene","predicted gene, 19163 [Source:MGI Symbol;Acc:MGI:5011348]"
"12014","ENSMUSG00000097709","2810429I04Rik","13","lncRNA","RIKEN cDNA 2810429I04 gene [Source:MGI Symbol;Acc:MGI:1924187]"
"12015","ENSMUSG00000021218","Gdi2","13","protein_coding","guanosine diphosphate (GDP) dissociation inhibitor 2 [Source:MGI Symbol;Acc:MGI:99845]"
"12016","ENSMUSG00000113894","Gm48838","13","TEC","predicted gene, 48838 [Source:MGI Symbol;Acc:MGI:6098568]"
"12017","ENSMUSG00000033799","Tasor2","13","protein_coding","transcription activation suppressor family member 2 [Source:MGI Symbol;Acc:MGI:2145274]"
"12018","ENSMUSG00000033781","Asb13","13","protein_coding","ankyrin repeat and SOCS box-containing 13 [Source:MGI Symbol;Acc:MGI:2145525]"
"12019","ENSMUSG00002075945","Gm54910","13","rRNA","predicted gene, 54910 [Source:MGI Symbol;Acc:MGI:6846295]"
"12020","ENSMUSG00000113759","Gm47695","13","lncRNA","predicted gene, 47695 [Source:MGI Symbol;Acc:MGI:6096805]"
"12021","ENSMUSG00000113259","Gm35190","13","lncRNA","predicted gene, 35190 [Source:MGI Symbol;Acc:MGI:5594349]"
"12022","ENSMUSG00000063130","Calml3","13","protein_coding","calmodulin-like 3 [Source:MGI Symbol;Acc:MGI:1917655]"
"12023","ENSMUSG00000114091","Gm40655","13","lncRNA","predicted gene, 40655 [Source:MGI Symbol;Acc:MGI:5623540]"
"12024","ENSMUSG00000033765","Calm4","13","protein_coding","calmodulin 4 [Source:MGI Symbol;Acc:MGI:1931464]"
"12025","ENSMUSG00000099269","Calm5","13","protein_coding","calmodulin 5 [Source:MGI Symbol;Acc:MGI:3511177]"
"12026","ENSMUSG00000021215","Net1","13","protein_coding","neuroepithelial cell transforming gene 1 [Source:MGI Symbol;Acc:MGI:1927138]"
"12027","ENSMUSG00000113128","Gm47813","13","TEC","predicted gene, 47813 [Source:MGI Symbol;Acc:MGI:6096997]"
"12028","ENSMUSG00000021216","Tubal3","13","protein_coding","tubulin, alpha-like 3 [Source:MGI Symbol;Acc:MGI:3588215]"
"12029","ENSMUSG00000044988","Ucn3","13","protein_coding","urocortin 3 [Source:MGI Symbol;Acc:MGI:1932970]"
"12030","ENSMUSG00002075714","Gm54917","13","miRNA","predicted gene, 54917 [Source:MGI Symbol;Acc:MGI:6846309]"
"12031","ENSMUSG00000113667","Gm47853","13","processed_pseudogene","predicted gene, 47853 [Source:MGI Symbol;Acc:MGI:6097062]"
"12032","ENSMUSG00000110055","Gm18857","13","unprocessed_pseudogene","predicted gene, 18857 [Source:MGI Symbol;Acc:MGI:5011042]"
"12033","ENSMUSG00000033715","Akr1c14","13","protein_coding","aldo-keto reductase family 1, member C14 [Source:MGI Symbol;Acc:MGI:2145458]"
"12034","ENSMUSG00000113788","Gm47904","13","lncRNA","predicted gene, 47904 [Source:MGI Symbol;Acc:MGI:6097144]"
"12035","ENSMUSG00000113517","Gm47905","13","TEC","predicted gene, 47905 [Source:MGI Symbol;Acc:MGI:6097146]"
"12036","ENSMUSG00000021214","Akr1c18","13","protein_coding","aldo-keto reductase family 1, member C18 [Source:MGI Symbol;Acc:MGI:2145420]"
"12037","ENSMUSG00000113744","Gm47925","13","lncRNA","predicted gene, 47925 [Source:MGI Symbol;Acc:MGI:6097183]"
"12038","ENSMUSG00000112986","Gm2123","13","processed_pseudogene","predicted gene 2123 [Source:MGI Symbol;Acc:MGI:3780293]"
"12039","ENSMUSG00000021213","Akr1c13","13","protein_coding","aldo-keto reductase family 1, member C13 [Source:MGI Symbol;Acc:MGI:1351662]"
"12040","ENSMUSG00000071551","Akr1c19","13","protein_coding","aldo-keto reductase family 1, member C19 [Source:MGI Symbol;Acc:MGI:2653678]"
"12041","ENSMUSG00000086265","Marcksl1-ps4","13","processed_pseudogene","MARCKS-like 1, pseudogene 4 [Source:MGI Symbol;Acc:MGI:97147]"
"12042","ENSMUSG00000021211","Akr1c12","13","protein_coding","aldo-keto reductase family 1, member C12 [Source:MGI Symbol;Acc:MGI:1351661]"
"12043","ENSMUSG00000121353","","13","lncRNA","novel transcript"
"12044","ENSMUSG00000113004","Gm47951","13","processed_pseudogene","predicted gene, 47951 [Source:MGI Symbol;Acc:MGI:6097222]"
"12045","ENSMUSG00000113175","Gm9973","13","transcribed_unprocessed_pseudogene","predicted gene 9973 [Source:MGI Symbol;Acc:MGI:3642527]"
"12046","ENSMUSG00000021210","Akr1c6","13","protein_coding","aldo-keto reductase family 1, member C6 [Source:MGI Symbol;Acc:MGI:1933427]"
"12047","ENSMUSG00000113214","Gm48010","13","lncRNA","predicted gene, 48010 [Source:MGI Symbol;Acc:MGI:6097316]"
"12048","ENSMUSG00000054757","Akr1c20","13","protein_coding","aldo-keto reductase family 1, member C20 [Source:MGI Symbol;Acc:MGI:2151104]"
"12049","ENSMUSG00000021207","Akr1c21","13","protein_coding","aldo-keto reductase family 1, member C21 [Source:MGI Symbol;Acc:MGI:1924587]"
"12050","ENSMUSG00000045410","Akr1e1","13","protein_coding","aldo-keto reductase family 1, member E1 [Source:MGI Symbol;Acc:MGI:1914758]"
"12051","ENSMUSG00000121676","","13","lncRNA","novel transcript"
"12052","ENSMUSG00000094772","Rpl29-ps2","13","transcribed_processed_pseudogene","ribosomal protein L29, pseudogene 2 [Source:MGI Symbol;Acc:MGI:3648624]"
"12053","ENSMUSG00000113717","Gm40658","13","lncRNA","predicted gene, 40658 [Source:MGI Symbol;Acc:MGI:5623543]"
"12054","ENSMUSG00000053499","Gm5444","13","lncRNA","predicted gene 5444 [Source:MGI Symbol;Acc:MGI:3644242]"
"12055","ENSMUSG00000113866","Gm47450","13","lncRNA","predicted gene, 47450 [Source:MGI Symbol;Acc:MGI:6096407]"
"12056","ENSMUSG00000077473","Gm24790","13","snoRNA","predicted gene, 24790 [Source:MGI Symbol;Acc:MGI:5454567]"
"12057","ENSMUSG00000113668","Gm47451","13","unprocessed_pseudogene","predicted gene, 47451 [Source:MGI Symbol;Acc:MGI:6096409]"
"12058","ENSMUSG00000114098","Gm40660","13","lncRNA","predicted gene, 40660 [Source:MGI Symbol;Acc:MGI:5623545]"
"12059","ENSMUSG00000114053","Gm35330","13","lncRNA","predicted gene, 35330 [Source:MGI Symbol;Acc:MGI:5594489]"
"12060","ENSMUSG00002074972","Gm54969","13","miRNA","predicted gene, 54969 [Source:MGI Symbol;Acc:MGI:6846413]"
"12061","ENSMUSG00000120440","Gm56567","13","lncRNA","predicted gene, 56567 [Source:MGI Symbol;Acc:MGI:7337048]"
"12062","ENSMUSG00000100625","1700016G22Rik","13","lncRNA","RIKEN cDNA 1700016G22 gene [Source:MGI Symbol;Acc:MGI:1919117]"
"12063","ENSMUSG00000000078","Klf6","13","protein_coding","Kruppel-like transcription factor 6 [Source:MGI Symbol;Acc:MGI:1346318]"
"12064","ENSMUSG00000113757","Gm47507","13","lncRNA","predicted gene, 47507 [Source:MGI Symbol;Acc:MGI:6096493]"
"12065","ENSMUSG00000113017","Gm46401","13","lncRNA","predicted gene, 46401 [Source:MGI Symbol;Acc:MGI:5826038]"
"12066","ENSMUSG00002075218","Gm54978","13","miRNA","predicted gene, 54978 [Source:MGI Symbol;Acc:MGI:6846431]"
"12067","ENSMUSG00000113054","Gm47514","13","lncRNA","predicted gene, 47514 [Source:MGI Symbol;Acc:MGI:6096507]"
"12068","ENSMUSG00000113483","Gm47548","13","lncRNA","predicted gene, 47548 [Source:MGI Symbol;Acc:MGI:6096563]"
"12069","ENSMUSG00000113765","Gm47549","13","lncRNA","predicted gene, 47549 [Source:MGI Symbol;Acc:MGI:6096565]"
"12070","ENSMUSG00000114097","Gm35615","13","lncRNA","predicted gene, 35615 [Source:MGI Symbol;Acc:MGI:5594774]"
"12071","ENSMUSG00000101540","Gm28465","13","lncRNA","predicted gene 28465 [Source:MGI Symbol;Acc:MGI:5579171]"
"12072","ENSMUSG00000114195","2900042G08Rik","13","TEC","RIKEN cDNA 2900042G08 gene [Source:MGI Symbol;Acc:MGI:1925651]"
